MREC91                 Survey specific variables

MV005S                 State men's sample weight (6 decimals)
SMDISTRI               District
SMSLUMC                Slum designation by sample frame
SMSLUMO                Slum designation by observation
SMMOD                  Household selected for the state module
SMCONSENT              Consent agreement
SMLANGQ                Language of questionnaire
SMLANGRM               Respondent's mother tongue
SMLANGI                Language of the interview
SMTRANSL               Translator used
SM106                  Been away from home six or more months at a tim
SM115                  Go to cinema hall/theatre to see a movie at lea
SM118                  Belong to a scheduled caste/tribe/other backwar
SM122                  Primary activity over the last 12 months
SM219                  Length of time not living with wife/wives
SM220                  Married to any woman other than current wife
SM223M                 Date of getting married (month)
SM223Y                 Date of getting married (year)
SM223C                 Date of getting married (cmc)
SM224                  Age at first marriage
SM227                  Age at first union
SM227C                 Age at first union (calculated)
SM228                  Ever had sexual intercourse
SM302                  Ever used any method
SM303A                 Method used by respondent or partner: Female st
SM303B                 Method used by respondent or partner: Male ster
SM303C                 Method used by respondent or partner: IUD/PPIUD
SM303D                 Method used by respondent or partner: Injectabl
SM303E                 Method used by respondent or partner: Pill
SM303F                 Method used by respondent or partner: Condom/ni
SM303G                 Method used by respondent or partner: Female co
SM303H                 Method used by respondent or partner: Emergency
SM303I                 Method used by respondent or partner: Diaphragm
SM303J                 Method used by respondent or partner: Foam/jell
SM303K                 Method used by respondent or partner: Standard
SM303L                 Method used by respondent or partner: Lactation
SM303M                 Method used by respondent or partner: Rhythm
SM303N                 Method used by respondent or partner: Withdrawa
SM303X                 Method used by respondent or partner: Other tra
SM303Y                 Method used by respondent or partner: Other mod
SM305                  Facility sterilization took place
SM306M                 Month started using male sterilization
SM306Y                 Year started using male sterilization
SM306C                 Started using male sterilization (cmc)
SM307                  Total paid for sterilization, including any con
SM308                  Received compensation for sterilization
SM309                  Amount of compensation recieved for sterilizati
SM310                  Regrets sterilization
SM311D                 Seen family planning message on a wall painting
SM316                  Male condom protects against pregnancy, when us
SM317                  Knows place to obtain family planning method
SM318A                 Place acquired contraception method: Public: Go
SM318B                 Place acquired contraception method: Public: Va
SM318C                 Place acquired contraception method: Public: Go
SM318D                 Place acquired contraception method: Public: UH
SM318E                 Place acquired contraception method: CHC/Rural
SM318F                 Place acquired contraception method: Public: PH
SM318G                 Place acquired contraception method: Public: Su
SM318H                 Place acquired contraception method: Public: Go
SM318I                 Place acquired contraception method: Public: Ca
SM318J                 Place acquired contraception method: Public: An
SM318K                 Place acquired contraception method: Public: AS
SM318L                 Place acquired contraception method: Public: Ot
SM318M                 Place acquired contraception method: Other Publ
