REC91                  Country specific variables
SDISTRI                District
SSLUMC                 Slum designation by sample frame
SSLUMO                 Slum designation by observation
SSMOD                  Selected for 'State' module; i.e. HIV Knowledge
SD005                  State Weight for Domestic Violence (6 decimals)
SCONSENT               Consent agreement
SLANGQ                 Language of questionnaire
SLANGRM                Respondent's mother tongue
SLANGI                 Language of the interview
STRANSL                Translator used
S113                   Usually go to a cinema hall or theatre to see a
S116                   Belong to a scheduled caste, a scheduled tribe,
S234                   Pregnancy end in miscarriage, abortion, or stillbirth
S236                   Ultrasound at any time
S238                   Place last termination performed
S239                   Person performed abortion
S240                   Complication from abortion
S241                   Sought treatment for the complication
S242                   Place when for treatment
S243A                  Reason did not seek treatment: Could Not Afford
S243B                  Reason did not seek treatment: Could Not Afford
S243C                  Reason did not seek treatment: Fear of Stigma B
S243D                  Reason did not seek treatment: Fear of Stigma B
S243E                  Reason did not seek treatment: Complication Was
S243F                  Reason did not seek treatment: Problem Resolved
S243G                  Reason did not seek treatment: Could Not Get Aw
S243H                  Reason did not seek treatment: Husband Did Not
S243X                  Reason did not seek treatment: other
S250                   Had your uterus removed
S251                   Years ago hysterectomy performed
S252                   Place hysterectomy performed
S253A                  Reason hysterectomy performed: Excessive Menstruation
S253B                  Reason hysterectomy performed: Fibroids/Cysts
S253C                  Reason hysterectomy performed: Uterine Disorder
S253D                  Reason hysterectomy performed: Cancer
S253E                  Reason hysterectomy performed: Uterine Prolapse
S253F                  Reason hysterectomy performed: Severe Post-Part
S253X                  Reason hysterectomy performed: other
S256                   Age at first monthly period
S257A                  Protection to prevent bloodstains: Cloth
S257B                  Protection to prevent bloodstains: Locally prep
S257C                  Protection to prevent bloodstains: Sanitary nap
S257D                  Protection to prevent bloodstains: Tampons
S257E                  Protection to prevent bloodstains: Nothing
S257X                  Protection to prevent bloodstains: other
S301                   Currently in union
S303                   Time period not living with husband
S308M                  Month (first) got married
S308Y                  Year (first) got married
S308C                  CMC (first) got married
S309                   Age (first) married
S310                   Related to current husband prior to marriage in
S311                   Type of relationship to current husband, prior
S314C                  Age at first union (calculated)
S315                   Ever had sexual intercourse
S321A                  Have used: Female sterilization
S321B                  Have used: Male sterilization
S321C                  Have used: IUD/PPIUD
S321D                  Have used: Injectables
S321E                  Have used: Pill
S321F                  Have used: Condom/nirodh
S321G                  Have used: Female condom
S321H                  Have used: Emergency contraception
S321I                  Have used: Diaphragm
S321J                  Have used: Foam/jelly
S321K                  Have used: Standard Days Method
S321L                  Have used: Lactational Amenorrhoea Method (LAM)
S321M                  Have used: Rhythm Method
S321N                  Have used: Withdrawal
S321X                  Have used: other modern method
S321Y                  Have used: other traditional method
S323                   Times used emergency contraception in last 12 m
S324A                  Place acquired emergency contraception: Public:
S324B                  Place acquired emergency contraception: Public:
S324C                  Place acquired emergency contraception: Public:
S324D                  Place acquired emergency contraception: Public:
S324E                  Place acquired emergency contraception: Public:
S324F                  Place acquired emergency contraception: Public:
S324G                  Place acquired emergency contraception: Public:
S324H                  Place acquired emergency contraception: Public:
S324I                  Place acquired emergency contraception: Public:
S324J                  Place acquired emergency contraception: Public:
S324K                  Place acquired emergency contraception: Public:
S324L                  Place acquired emergency contraception: Other P
S324M                  Place acquired emergency contraception: NGO or
S324N                  Place acquired emergency contraception: Private
S324O                  Place acquired emergency contraception: Private
S324P                  Place acquired emergency contraception: Private
S324Q                  Place acquired emergency contraception: Private
S324R                  Place acquired emergency contraception: Private
S324S                  Place acquired emergency contraception: Private
S324T                  Place acquired emergency contraception: Private
S324U                  Place acquired emergency contraception: Other P
S324V                  Place acquired emergency contraception: Shop
S324W                  Place acquired emergency contraception: Friend/
S324X                  Place acquired emergency contraception: other
S326                   Number of living children when first started us
S329                   Currently using any method
S334                   Rate care received during and immediately after
S335                   Total paid for the sterilization, including any
S336                   Receive compensation for sterilization
S337                   Amount of compensation received for sterilization
S338                   Regret sterilization
S351                   Told by a health worker about any methods of fa
S353W                  Source of FP for non-users: Shop
S353X                  Source of FP for non-users: Friend/Relative (se
S354                   Met with an ANM or LHV in last 3 months
S355A                  Times met with ANM or LHV at home in last 3 month
S355B                  Times met with ANM or LHV at anganwadi center
S355C                  Times met with ANM or LHV at health facility or
S355D                  Times met with ANM or LHV elsewhere in last 3 m
S356                   Met with an anganwadi worker, ASHA or other com
S357A                  Person met: Anganwadi worker
S357B                  Person met: ASHA
S357C                  Person met: MPW
S357X                  Person met: other
S358A                  Times met this person at home in last 3 months
S358B                  Times met this person at anganwadi center
S358C                  Times met this person at health facility or camp
S358D                  Times met this person elsewhere in last 3 month
S360A                  Services/matters talked about in last 3 months:
S360B                  Services/matters talked about in last 3 months:
S360C                  Services/matters talked about in last 3 months:
S360D                  Services/matters talked about in last 3 months:
S360E                  Services/matters talked about in last 3 months:
S360F                  Services/matters talked about in last 3 months:
S360G                  Services/matters talked about in last 3 months:
S360H                  Services/matters talked about in last 3 months:
S360I                  Services/matters talked about in last 3 months:
S360J                  Services/matters talked about in last 3 months:
S360K                  Services/matters talked about in last 3 months:
S360L                  Services/matters talked about in last 3 months:
S360M                  Services/matters talked about in last 3 months:
S360N                  Services/matters talked about in last 3 months:
S360O                  Services/matters talked about in last 3 months:
S360P                  Services/matters talked about in last 3 months:
S360Q                  Services/matters talked about in last 3 months:
S360R                  Services/matters talked about in last 3 months:
S360S                  Services/matters talked about in last 3 months:
S360X                  Services/matters talked about in last 3 months:
S361                   Person met during most recent contact
S363                   Visited a health facility or camp for self or c
S364                   Type of health facility or camp visited
S365A                  Service went for: Family Planning
S365B                  Service went for: Immunization
S365C                  Service went for: Antenatal Care
S365D                  Service went for: Delivery Care
S365E                  Service went for: Postnatal Care
S365F                  Service went for: Disease Prevention
S365G                  Service went for: Medical Treatment For Self
S365H                  Service went for: Treatment For Child
S365I                  Service went for: Treatment For Other Person
S365J                  Service went for: Growth Monitoring Of Child
S365K                  Service went for: Health Check-Up
S365L                  Service went for: Medical Termination Of Pregnancy
S365X                  Service went for: other
S616D                  Seen family planning message on a wall painting
S704                   Ever had a blood transfusion
S707                   Currently smoke bidis
S708                   Bidis smoked in last 24 hours
S710C                  Type of tobacco used: Hookah
S710E                  Type of tobacco used: Khaini
S712                   Tried to stop smoking or using tobacco in last
S713                   Visited a doctor or other health care provider
S714                   During visit with health provider, respondent a
S715                   Someone smoked in respondent's home or presence
S716                   Drinks alcohol
S717                   Frequency drinks alcohol
